airport_code,airport_name,city_code,country_code,latitude,longitude
BFM,Mobile - Aerospace,MOB,US,30.62638889,-88.06805556
BFN,Bloemfontein,BFN,ZA,-29.09222222,26.30277778
BGA,Bucaramanga,BGA,CO,7.107222222,-73.12805556
BGF,Bangui,BGF,CF,4.396111111,18.52027778
BGI,Barbados (Bridgetown) - Adams International,BGI,BB,13.07222222,-59.49305556
BGO,Bergen,BGO,NO,60.29361111,5.219444444
BGR,Bangor International,BGR,US,44.80777778,-68.82777778
BGW,Baghdad International,BGW,IQ,33.33277778,44.36388889
BGY,Milano Orio - Bergamo,MIL,IT,45.66833333,9.700277778
BHD,Belfast City,BFS,GB,54.61805556,-5.8725
BHI,Bahia Blanca,BHI,AR,-38.73055556,-62.15055556
BHM,"Birmingham, AL",BHM,US,33.56305556,-86.75555556
BHO,Bhopal,BHO,IN,23.28472222,77.33861111
BHX,Birmingham International,BHX,GB,52.45388889,-1.746388889
BHY,Beihai,BHY,CN,21.48333333,109.0833333
BIA,Bastia,BIA,FR,42.54916667,9.486111111
BIL,"Billings, MT",BIL,US,45.80694444,-108.5427778
BIO,Bilbao,BIO,ES,43.30277778,-2.921666667
BIQ,Biarritz,BIQ,FR,43.46861111,-1.5225
BIS,Bismarck,BIS,US,46.77888889,-100.7525
BJL,Banjul - Yundum International,BJL,GM,13.33805556,-16.65222222
BJM,Bujumbura International,BJM,BI,-3.331666667,29.32083333
BJR,Bahar Dar,BJR,ET,11.59027778,37.38472222
BJV,Bodrum - Milas Airport,BXN,TR,37.14055556,27.66861111
BJX,Leon-Guanajuato - Del Bajio,BJX,MX,20.99138889,-101.48
BKI,Kota Kinabalu,BKI,MY,5.937222222,116.0511111
BKK,Bangkok - Suvarnabhumi Int'l,BKK,TH,13.9125,100.6066667
BKO,Bamako,BKO,ML,12.63222222,-8.026666667
BLA,Barcelona,BLA,VE,10.10972222,-64.6875
BLL,Billund,BLL,DK,55.74027778,9.152777778
BLQ,Bologna,BLQ,IT,44.53055556,11.2925
BLR,Bengaluru/Bangalore International,BLR,IN,13.1983333,77.705
BLZ,Blantyre,BLZ,MW,-15.67472222,34.97083333
BNA,"Nashville, TN",BNA,US,36.12444444,-86.67805556
BNE,Brisbane International,BNE,AU,-27.425,153.0855556
BOD,Bordeaux,BOD,FR,44.82944444,-0.714444444
BOG,Bogota,BOG,CO,4.706111111,-74.14222222
BOI,"Boise, ID",BOI,US,43.56527778,-116.225
BOJ,Burgas,BOJ,BG,42.55361111,27.51083333
BOM,Mumbai - Chhatrapati Shivaji Intl. Airport,BOM,IN,19.08805556,72.85166667
BOO,Bodo,BOO,NO,67.26916667,14.37222222
BOS,"Boston - Logan International, MA",BOS,US,42.36444444,-71.00527778
BPN,Balikpapan,BPN,ID,-1.268055556,116.8930556
BPS,Porto Seguro,BPS,BR,-16.43861111,-39.08083333
BPT,Beaumont - Jefferson County,BPT,US,29.95083333,-94.02
BRC,San Carlos De Bariloche International,BRC,AR,-41.14972222,-71.15833333
BRE,Bremen,BRE,DE,53.04666667,8.79
BRI,Bari,BRI,IT,41.14111111,16.78833333
BRM,Barquisimeto,BRM,VE,10.04527778,-69.35611111
BRN,Berne - Belp,BRN,CH,46.91527778,7.499166667
BRO,Brownsville - S. Padre Island International,BRO,US,25.90638889,-97.42555556
BRS,Bristol,BRS,GB,51.38277778,-2.719166667
BRU,Brussels - Airport,BRU,BE,50.90166667,4.494166667
BRW,Barrow Wbas,BRW,US,71.28555556,-156.7661111
BSB,Brasilia International,BSB,BR,-15.86055556,-47.91527778
BSL,Basel Euroairport,BSL,CH,47.59,7.53
BTR,Baton Rouge - Ryan,BTR,US,30.53166667,-91.15055556
BTU,Bintulu,BTU,MY,3.175,113.0430556
BTV,"Burlington, International, VT",BTV,US,44.47277778,-73.15305556
BUD,"Budapest, Liszt Ferenc",BUD,HU,47.43694444,19.25555556
BUF,"Buffalo,  Greater Buffalo International, NY",BUF,US,42.94055556,-78.7325
BUQ,Bulawayo,BUQ,ZW,-20.0175,28.61777778
BUR,Burbank,BUR,US,34.20055556,-118.3586111
BWI,"Baltimore - Washington International, DC",BWI,US,39.175,-76.67
BWN,Bandar Seri Begawan - Brunei International,BWN,BN,4.925,114.9277778
BZE,Belize City - Goldson International,BZE,BZ,17.53916667,-88.30833333
BZG,Bydgoszcz,BZG,PL,53.09666667,17.97861111
BZN,Bozeman,BZN,US,45.78027778,-111.1594444
BZV,Brazzaville,BZV,CG,-4.251944444,15.25472222
CAE,"Columbia, SC",CAE,US,33.94055556,-81.11916667
CAG,Cagliari,CAG,IT,39.24722222,9.061111111
CAI,Cairo International,CAI,EG,26.55,31.7
CAK,Akron/Canton,CAK,US,40.91388889,-81.44166667
CAN,Guangzhou Baiyun International,CAN,CN,23.3925,113.2905556
CBR,Canberra,CBR,AU,-35.30888889,149.195
CCJ,Kozhikode,CCJ,IN,11.00361111,75.95527778
CCP,Concepcion,CCP,CL,-36.77361111,-73.06
CCS,Caracas,CCS,VE,10.60527778,-66.98805556
CCU,Kolkata,CCU,IN,22.6525,88.44916667
CDG,Paris - Charles De Gaulle,PAR,FR,49.00972222,2.547777778
CDR,Chadron,CDR,US,42.835,-103.0977778
CDV,Cordova - Mile 13 Field,CDV,US,60.49305556,-145.47
CEB,Cebu,CEB,PH,10.33166667,123.9066667
CEC,Crescent City,CEC,US,41.78,-124.2358333
CEI,Chiang Rai,CEI,TH,19.88638889,99.83055556
CEZ,Cortez,CEZ,US,37.30305556,-108.6280556
CFU,Kerkyra,CFU,GR,39.60138889,19.91027778
CGB,Cuiaba,CGB,BR,-15.65305556,-56.11666667
CGH,Sao Paulo - Congonhas,SAO,BR,-23.625,-46.66
CGK,Jakarta - Soekarno-Hatta International,JKT,ID,-6.125833333,106.6577778
CGN,Cologne - Cologne/Bonn Airport,CGN,DE,50.86583333,7.141944444
CGO,Zhengzhou,CGO,CN,34.51972222,113.8408333
CGQ,Changchun,CGQ,CN,43.90666667,125.1975
CGR,Campo Grande International,CGR,BR,-20.46333333,-54.6725
CHA,Chattanooga,CHA,US,35.03638889,-85.20361111
CHC,Christchurch International,CHC,NZ,-43.48944444,172.5344444
CHO,Charlottesville Albemarie,CHO,US,38.14138889,-78.45305556
CHQ,Chania,CHQ,GR,35.5325,24.14833333
CHS,"Charleston, SC",CHS,US,32.89916667,-80.03888889
CIC,Chico,CIC,US,39.79583333,-121.8566667
CID,"Cedar Rapids, IA",CID,US,41.88444444,-91.70611111
CIT,Shymkent,AKX,KZ,42.36416667,69.47888889
CJB,Coimbatore,CJB,IN,11.02833333,77.04333333
CJC,Calama,CJC,CL,-22.49805556,-68.90361111
CJU,Jeju,CJU,KR,33.50555556,126.495
CKB,Clarksburg,CKB,US,39.29555556,-80.22944444
CKG,Chongqing,CKG,CN,29.49583333,106.3597222
CKY,Conakry,CKY,GN,9.576388889,-13.61083333
CLD,"Carlsbad, CA",CLD,US,33.12861111,-117.2797222
CLE,"Cleveland - Hopkins International, OH",CLE,US,41.41083333,-81.84944444
CLJ,Cluj,CLJ,RO,46.785,23.68611111
CLL,College Station - Easterwood Field,CLL,US,30.58944444,-96.36444444
CLO,Cali,CLO,CO,3.546111111,-76.385
CLT,"Charlotte, NC",CLT,US,35.21916667,-80.93583333
CLY,Calvi,CLY,FR,42.52777778,8.791666667
CMB,Colombo - Katunayake,CMB,LK,7.175,79.88472222
CME,Ciudad Del Carmen,CME,MX,18.65361111,-91.79888889
CMH,"Columbus, OH",CMH,US,39.99111111,-82.87833333
CMN,Casablanca - Mohamed V,CAS,MA,33.3675,-7.59
CMX,Hancock,CMX,US,47.16777778,-88.48638889
CND,Constanta,CND,RO,44.36222222,28.48833333
CNF,Belo Horizonte - Tancredo Neves International,BHZ,BR,-19.63361111,-43.96888889
CNS,Cairns,CNS,AU,-16.88583333,145.7552778
CNX,Chiang Mai,CNX,TH,18.77194444,98.96833333
CNY,Moab,CNY,US,38.75944444,-109.7461111
COD,Cody,COD,US,44.51583333,-109.0275
COK,Kochi,COK,IN,9.944444444,76.27194444
COO,Cotonou,COO,BJ,6.354166667,2.385555556
COR,Cordoba,COR,AR,-31.31305556,-64.19944444
COS,"Colorado Springs - Peterson Field, CO",COS,US,38.80888889,-104.7091667
CPH,Copenhagen,CPH,DK,55.61805556,12.65583333
CPO,Copiapo,CPO,CL,-27.29611111,-70.41361111
CPR,Casper,CPR,US,42.90861111,-106.4625
CPT,Cape Town,CPT,ZA,-33.96472222,18.60222222
CRD,Comodoro Rivadavia,CRD,AR,-45.78722222,-67.46277778
CRP,Corpus Christi - International,CRP,US,27.77,-97.50083333
CRW,"Charleston, West Virginia - Yeager",CRW,US,38.37277778,-81.59305556
CSL,San Luis Obispo,CSL,US,35.33333333,-120.7344444
CSX,Changsha,CSX,CN,28.2,113.0833333
CTA,Catania,CTA,IT,37.40277778,14.92305556
CTG,Cartagena,CTG,CO,10.44666667,-75.51055556
CTS,Sapporo - Chitose,SPK,JP,42.79583333,141.6691667
CTU,Chengdu,CTU,CN,30.57861111,103.9472222
CUC,Cucuta,CUC,CO,7.93,-72.50944444
CUL,Culiacan,CUL,MX,24.76444444,-107.4741667
CUM,Cumana,CUM,VE,10.44777778,-64.19194444
CUN,Cancun,CUN,MX,21.03666667,-86.87694444
CUR,Curacao - Hato Airport,CUR,CW,12.18916667,-68.95916667
CUU,Chihuahua,CUU,MX,28.6525,-106.0944444
CVG,"Cincinnati - Northern Kentucky, OH",CVG,US,39.04777778,-84.66861111
CWB,Curitiba,CWB,BR,-25.52666667,-49.17777778
CWL,Cardiff,CWL,GB,51.39666667,-3.343333333
CYS,Cheyenne Municipal,CYS,US,41.15583333,-104.8122222
CZM,Cozumel,CZM,MX,20.5225,-86.92555556
CZX,Changzhou,CZX,CN,31.7,119.9666667
DAB,Daytona Beach,DAB,US,29.1825,-81.05277778
DAC,Dhaka - Zia International,DAC,BD,23.78055556,90.38611111
DAR,Dar es Salaam International,DAR,TZ,-6.875277778,39.20194444
DAT,Datong,DAT,CN,40.08333333,113.3
DAX,Dazhou,DZU,CN,13.3,107.5
DAY,"Dayton - James Cox International, OH",DAY,US,39.90111111,-84.22
DBV,Dubrovnik,DBV,HR,42.5625,18.26888889
DCA,Washington National,WAS,US,38.85166667,-77.03694444
DDC,Dodge City,DDC,US,37.76166667,-99.965
DDG,Dandong,DDG,CN,40.2,124.25
DEL,New Delhi - Indira Gandhi International,DEL,IN,28.57361111,77.10083333
DEN,"Denver - International, CO",DEN,US,39.85833333,-104.6669444
DFW,"Dallas/Fort Worth - International, TX",DFW,US,32.89638889,-97.04111111
DGO,Durango,DGO,MX,24.125,-104.525
DIB,Dibrugarh,DIB,IN,27.48388889,95.02083333
DIK,Dickinson,DIK,US,46.79666667,-102.7963889
DIR,Dire Dawa,DIR,ET,9.622222222,41.85083333
DKR,Dakar,DKR,SN,14.73972222,-17.49027778
DLA,Douala,DLA,CM,4.006111111,9.719444444
DLC,Dalian,DLC,CN,38.96555556,121.5386111
DLH,Duluth/Superior - Duluth International,DLH,US,46.84194444,-92.19388889
DLM,Dalaman,DLM,TR,36.7125,28.79222222
DME,Moscow - Domodedovo,MOW,RU,55.40888889,37.90638889
DMK,Bangkok - Don Muang,BKK,TH,13.9125,100.6063889
DMM,Dammam,DMM,SA,26.47055556,49.79833333
DMU,Dimapur,DMU,IN,25.88388889,93.77361111
DNK,Dnipropetrovsk-42,DNK,UA,48.35722222,35.10055556
DNZ,Denizli,DNZ,TR,37.78555556,29.70138889
DOH,Doha,DOH,QA,25.27444444,51.60833333
DOK,Donetsk,DOK,UA,48.07444444,37.73972222
DPS,Denpasar-Bali,DPS,ID,-8.748611111,115.165
DRO,Durango La Plata,DRO,US,37.15138889,-107.7538889
DRS,Dresden,DRS,DE,51.13277778,13.76722222
DRT,Del Rio International,DRT,US,29.37277778,-100.9258333
DRW,Darwin,DRW,AU,-12.41472222,130.8766667
DSE,Dessie,DSE,ET,11.075,39.71527778
DSM,"Des Moines, IA",DSM,US,41.53388889,-93.65666667
DSN,Ordos,DSN,CN,39.84972222,110.0330556
DTM,Dortmund,DTM,DE,51.51833333,7.612222222
DTN,Shreveport Downtown,SHV,US,32.5401,-93.7489
DTW,"Detroit - Wayne County, MI",DTT,US,42.2125,-83.35333333
DUB,Dublin,DUB,IE,53.4325,-6.252222222
DUR,Durban International Airport,DUR,ZA,-29.96916667,30.95694444
DUS,Dusseldorf - Nordrhein-Westfalen,DUS,DE,51.28111111,6.752777778
DVL,Devils Lake,DVL,US,48.11305556,-98.9075
DVO,Davao,DVO,PH,7.131666667,125.6494444
DXB,Dubai,DXB,AE,25.255,55.36416667
DYG,Dayong,DYG,CN,28.13333333,110.4833333
EAR,Kearney,EAR,US,40.72833333,-98.99888889
EAT,Wenatchee,EAT,US,47.39972222,-120.2077778
EAU,Eau Clair,EAU,US,44.86444444,-91.48722222
EBB,Entebbe,EBB,UG,0.0425,32.44361111
EBJ,Esbjerg,EBJ,DK,55.52638889,8.5525
EBL,Erbil,EBL,IQ,36.18333333,44.01666667
EDI,Edinburgh,EDI,GB,55.95,-3.3725
EFL,Kefallinia,EFL,GR,38.11861111,20.49972222
EGE,"Vail/Eagle County, CO",EGE,US,39.64361111,-106.9138889
EGO,Belgorod,EGO,RU,50.64388889,36.59
ELM,Elmira/Corning,ELM,US,42.16083333,-76.89527778
ELP,"El Paso International, TX",ELP,US,31.80666667,-106.3772222
ELS,East London,ELS,ZA,-33.03611111,27.82388889
EMA,East Midlands,EMA,GB,52.83111111,-1.328055556
ERC,Erzincan,ERC,TR,39.71166667,39.51694444
ERI,Erie International,ERI,US,42.08,-80.17861111
ERZ,Erzurum,ERZ,TR,39.95555556,41.17361111
ESB,Ankara - Esenboga,ANK,TR,40.12916667,32.99666667
EUG,"Eugene, OR",EUG,US,44.12083333,-123.2175
EVE,"Harstad-Narvik, Evenes",EVE,NO,68.49111111,16.67972222
EVN,Yerevan - Zvartnots Intﾂｴl,EVN,AM,40.15416667,44.40138889
EWN,New Bern,EWN,US,35.07361111,-77.0425
EWR,"New York - Newark International, NJ",NYC,US,40.69583333,-74.17166667
EYW,Key West International,EYW,US,24.55555556,-81.75972222
EZE,Buenos Aires - Ministro Pistarini,BUE,AR,-34.82,-58.53388889
EZS,Elazig,EZS,TR,38.60833333,39.29166667
FAO,Faro,FAO,PT,37.01444444,-7.965833333
FAR,"Fargo, ND",FAR,US,46.91555556,-96.81472222
FAT,"Fresno - Air Terminal, CA",FAT,US,36.77611111,-119.7172222
FAY,"Fayetteville, North Carolina - Municipal",FAY,US,34.99138889,-78.88027778
FBM,Lubumbashi,FBM,CD,-11.59083333,27.52916667
FCA,Kalispell,FCA,US,48.31277778,-114.2511111
FCO,Rome - Leonardo Da Vinci,ROM,IT,41.80027778,12.23888889
FDH,Friedrichshafen,FDH,DE,47.66722222,9.5125
FIH,Kinshasa N'Djili,FIH,CD,-4.384722222,15.445
FKB,Karlsruhe,FKB,DE,48.77916667,8.080277778
FKS,Fukushima,FKS,JP,37.22861111,140.4291667
FLL,"Fort Lauderdale - International, FL",FLL,US,26.07222222,-80.15305556
FLN,Florianopolis,FLN,BR,-27.66972222,-48.55055556
FLO,Florence,FLO,US,34.18888889,-79.72444444
FLR,Florence - Amerigo Vespucci,FLR,IT,43.81027778,11.19777778
FMM,Memmingen,FMM,DE,47.98888889,10.23944444
FMN,"Farmington, New Mexico - Municipal",FMN,US,36.74111111,-108.2291667
FMO,Munster,FMO,DE,52.13527778,7.686111111
FMY,Fort Myers - Page Field,FMY,US,26.58694444,-81.86222222
FNA,Freetown - Lungi International,FNA,SL,8.6175,-13.19694444
FNC,Funchal,FNC,PT,32.69777778,-16.77444444
FOC,Fuzhou,FOC,CN,25.935,119.6633333
FOE,Topeka - Forbes AFB,TOP,US,38.9525,-95.6625
FOR,Fortaleza,FOR,BR,-3.776666667,-38.53444444
FRA,Frankfurt/Main International,FRA,DE,50.03194444,8.577777778
FRS,Flores,FRS,GT,16.91666667,-89.88333333
FRW,Francistown,FRW,BW,-21.16,27.4825
FSC,Figari,FSC,FR,41.50055556,9.097777778
FSD,Sioux Falls,FSD,US,43.57888889,-96.74083333
FSZ,Shizuoka,FSZ,JP,40.73333333,140.6886111
FTE,El Calafate,FTE,AR,-50.28027778,-72.05333333
FUE,Fuerteventura,FUE,ES,28.45277778,-13.86388889
FUK,Fukuoka,FUK,JP,33.58222222,130.4533333
FWA,"Fort Wayne Municipal - Baer Field, IN",FWA,US,40.97833333,-85.18805556
FYV,"Fayetteville, Arkansas - Drake Field Municipal",FYV,US,36.005,-94.17
GAU,Guwahati,GAU,IN,26.10416667,91.5875
GAY,Gaya,GAY,IN,24.74666667,84.94583333
GBE,Gaborone - Sir Seretse Khama International,GBE,BW,-24.65416667,25.94166667
GCC,Gillette,GCC,US,44.35138889,-105.525
GCK,Garden City Municipal,GCK,US,37.92861111,-100.7297222
GDE,Gode,GDE,ET,5.902222222,43.62833333
GDL,Guadalajara,GDL,MX,20.52388889,-103.3125
GDN,Gdansk,GDN,PL,54.3775,18.46611111
GDQ,Gonder,GDQ,ET,12.51444444,37.44555556
GEG,"Spokane International, WA",GEG,US,47.62,-117.5327778
GIG,Rio de Janeiro - International,RIO,BR,-22.80777778,-43.24333333
GJT,"Grand Junction, CO",GJT,US,39.11861111,-108.5138889
GLA,Glasgow,GLA,GB,56.06666667,-6.216666667
GMB,Gambela,GMB,ET,8.128888889,34.56305556
GMP,Seoul - Gimpo International,SEL,KR,37.555,126.7963889
GNV,"Gainesville, Florida - Allison Municipal",GNV,US,29.68972222,-82.27583333
GNY,Sanliurfa - Guney Anadolu,SFQ,TR,37.44805556,-38.89833333
GOA,Genoa,GOA,IT,44.41305556,8.837777778
GOB,Goba,GOB,ET,7.016666667,40
GOI,Goa,GOI,IN,15.38166667,73.83361111
GOJ,Nizhny Novgorod,GOJ,RU,56.23,43.78416667
GOM,Goma International,GOM,CG,-1.67,29.235
GOT,Gothenburg - Landvetter,GOT,SE,57.66305556,12.28277778
GPT,Gulfport,GPT,US,30.40611111,-89.07027778
GRB,Green Bay,GRB,US,44.48805556,-88.13055556
GRI,Grand Island,GRI,US,40.96722222,-98.30666667
GRJ,George,GRJ,ZA,-33.9675,22.42111111
GRR,"Grand Rapids, Kent County Intl, MI",GRR,US,42.88111111,-85.52416667
GRU,Sao Paulo - Guarulhos International,SAO,BR,-23.435,-46.47277778
GRZ,Graz - Thalerhof,GRZ,AT,46.99333333,15.44
GSO,"Greensboro - Piedmont Triad International, NC",GSO,US,36.09194444,-79.94277778
GSP,"Greenville - Spartanbur, SC",GSP,US,34.89888889,-82.21388889
GTF,Great Falls International,GTF,US,47.48555556,-111.3669444
GUA,Guatemala City,GUA,GT,14.58194444,-90.5275
GUC,Gunnison,GUC,US,38.53388889,-106.9388889
GUM,Guam - Agana Field,GUM,GU,13.48166667,144.7933333
GUW,Atyrau,AKX,KZ,47.12194444,51.82138889
GVA,Geneve - Geneva-Cointrin Airport,GVA,CH,46.23944444,6.110277778
GWL,Gwalior,GWL,IN,26.29388889,78.23
GWT,Westerland/Sylt,GWT,DE,54.91527778,8.343055556
GYD,Baku - Heydar Aliyev Intﾂｴl,BAK,AZ,40.4675,50.04666667
GYE,Guayaquil,GYE,EC,-2.154444444,-79.87555556
GYN,Goiania,GYN,BR,-16.63833333,-49.21083333
GZP,Gazipasa,GZP,TR,36.26666667,32.31666667
GZT,Gaziantep,GZT,TR,36.94805556,37.47833333
HAC,Hachijo Jima,HAC,JP,33.11333333,139.7905556
HAJ,Hannover,HAJ,DE,52.46166667,9.684722222
HAK,Haikou,HAK,CN,19.93472222,110.4588889
HAM,Hamburg,HAM,DE,53.63388889,9.995
HAN,Hanoi,HAN,VN,21.03583333,105.89
HAR,"Harrisburg, Pennsylvania - Skyport",HAR,US,40.21611111,-76.85222222
HAU,Haugesund,HAU,NO,59.34666667,5.209166667
HAV,Havanna,HAV,CU,22.98944444,-82.4075
HBA,Hobart,HBA,AU,-42.83583333,147.5125
HBE,Alexandria - Borg El Arab,ALY,EG,30.91638889,29.68833333
HDB,Heidelberg,HDB,DE,49.4,8.683333333
HDF,Heringsdorf/Usedom,HDF,DE,53.87888889,14.15166667
HDN,"Hayden - Yampa Valley, Colorado",AXG,US,40.48166667,-107.22
HDS,Hoedspruit,HDS,ZA,-24.36861111,31.04861111
HDY,Hat Yai,HDY,TH,6.9325,100.3944444
HEL,Helsinki - Vantaa,HEL,FI,60.32555556,24.97166667
HER,Heraklion,HER,GR,35.34027778,25.18027778
HET,Hohhot,HET,CN,40.85138889,111.8241667
HFE,Hefei,HFE,CN,31.78,117.2983333
HGH,Hangzhou,HGH,CN,30.22833333,120.4316667
HHH,Hilton Head,HHH,US,32.22444444,-80.6975
HIJ,Hiroshima International,HIJ,JP,34.36333333,132.4155556
HIL,Shilabo,HIL,ET,6.066666667,44.75
HIN,Jinju,HIN,KR,35.08777778,128.0719444
HKD,Hakodate,HKD,JP,41.76833333,140.8225
HKG,Hong Kong International Airport,HKG,HK,22.31555556,114.2027778
HKT,Phuket,HKT,TH,8.110555556,98.3125
HLD,Hailar,HLD,CN,49.205,119.825
HLH,Ulanhot,HLH,CN,46.08333333,122.0166667
